
2015-12-01 02:37:35 +0000 [246911968021609] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-01 02:39:36 +0000 [247032181881011] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 02:39:36 +0000 [247033108712582] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 14:24:42 +0000 [256978744432119] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-12-01 14:24:43 +0000 [256979695386168] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {23.5, 14}
2015-12-01 23:08:00 +0000 [266942785322323] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 23:08:01 +0000 [266943707240705] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 23:11:56 +0000 [267178901920939] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-01 23:11:57 +0000 [267179826550074] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:36 +0000 [29706553925923] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:37 +0000 [29707493508218] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:38 +0000 [29708471125762] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:38 +0000 [29708598429083] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:38 +0000 [29708601495362] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-13 17:59:39 +0000 [29709059041594] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 17:59:41 +0000 [29710670089282] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:48 +0000 [29778497255733] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:49 +0000 [29779455071887] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:49 +0000 [29779580189550] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:49 +0000 [29779583376248] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-13 18:00:50 +0000 [29780046750908] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:51 +0000 [29781306208493] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
