Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Honchoshi Plagal Form Japan,,1 2b 3b 4 5b 7b .,110101100010,6,2.8667,C Db Eb F Gb Bb .,(s) (L) (L) (s) (2L) (L),6-3-7 .,Gb,Ebm Bbm,,Cdim
"Raga Bagesri,  Sriranjani, Kapijingla (India)",Jayamanohari Chord Cm69sus4,1 2 3b 4 6 7b .,101101000110,6,2.8667,C D Eb F A Bb .,(L) (s) (L) (2L) (s) (L),6-5-4 .,F Bb,Dm,,Adim
Raga Nishadi (India),,1 2 4# 5 6 7 .,101000110101,6,2.8667,C D F# G A B .,(L) (2L) (s) (L) (L) (s),6-5-1 .,D G,Bm,,
Theoretical - No Known Name,,1 2 3b 4 5 6b .,101101011000,6,2.8667,C D Eb F G Ab .,(L) (s) (L) (L) (s) (2L),6-3-5 .,Ab,Cm Fm,,Ddim
Raga Manavi (India),Chord Cm96,1 2 3b 5 6 7b .,101100010110,6,2.8667,C D Eb G A Bb .,(L) (s) (2L) (L) (s) (L),6-3-4 .,Eb,Cm Gm,,Adim
Theoretical - No Known Name,Chord CMaj6sus#4,1 3 4# 5 6 7 .,100010110101,6,2.8667,C E F# G A B .,(2L) (L) (s) (L) (L) (s),6-3-1 .,C,Em Am,,
Raga Hamsa Vinodini (India),,1 2 3 4 6 7 .,101011000101,6,2.8667,C D E F A B .,(L) (L) (s) (2L) (L) (s),6-3-2 .,F,Dm Am,,Bdim
Raga Phenadyuti (India),"Insen,  Honchoshi,  Niagari: Japan",1 2b 4 5 6b 7b .,110001011010,6,2.8667,C Db F G Ab Bb .,(s) (2L) (L) (s) (L) (L),6-3-6 .,Db,Fm Bbm,,Gdim
"Raga Nalinakanti, Kedaram (India)",Vilasini Chord CMaj9sus4,1 2 3 4 5 7 .,101011010001,6,2.8667,C D E F G B .,(L) (L) (s) (L) (2L) (s),6-5-2 .,C G,Em,,Bdim
"Raga Khamas, Baduhari (India)",Desya Khamas Chord C13sus4,1 3 4 5 6 7b .,100011010110,6,2.8667,C E F G A Bb .,(2L) (s) (L) (L) (s) (L),6-5-3 .,C F,Am,,Edim
Theoretical - No Known Name,,1 2b 3b 4 5b 6b .,110101101000,6,2.8667,C Db Eb F Gb Ab .,(s) (L) (L) (s) (L) (2L),6-5-7 .,Db Ab,Fm,,Cdim
Raga Kashyapi (India),Chord Cmb6b9,1 2b 3b 5 6b 7b .,110100011010,6,2.8667,C Db Eb G Ab Bb .,(s) (L) (2L) (s) (L) (L),6-5-6 .,Eb Ab,Cm,,Gdim
Genus Secundum,Raga Hari Nata Chord CMaj6sus4,1 3 4 5 6 7 .,100011010101,6,2.9333,C E F G A B .,(2L) (s) (L) (L) (L) (s),6-4-2 .,C F,Em Am,,
Raga Trimurti,Chord Cm9b13,1 2 3b 5 6b 7b .,101100011010,6,2.9333,C D Eb G Ab Bb .,(L) (s) (2L) (s) (L) (L),6-4-5 .,Eb Ab,Cm Gm,,
Theoretical - No Known Name,,1 2b 4 5b 6b 7b .,110001101010,6,2.9333,C Db F Gb Ab Bb .,(s) (2L) (s) (L) (L) (L),6-4-7 .,Db Gb,Fm Bbm,,
"Raga Rageshri, Nattaikurinji (India)",(Rageshwari) (Natakuranji),1 2 3 4 6 7b .,101011000110,6,2.9333,C D E F A Bb .,(L) (L) (s) (2L) (s) (L),6-4-3 .,F Bb,Dm Am,,
Raga Caturangini (India),Ratnakanthi,1 2 3 4# 5 7 .,101010110001,6,2.9333,C D E F# G B .,(L) (L) (L) (s) (2L) (s),6-4-1 .,C G,Em Bm,,
Raga Simantini (India),,1 2b 3b 4 5 6b .,110101011000,6,2.9333,C Db Eb F G Ab .,(s) (L) (L) (L) (s) (2L),6-4-6 .,Db Ab,Cm Fm,,
Theoretical - No Known Name,,1 1# 4 4# 5 5# .,110001111000,6,2.9333,C C# F F# G G# .,(L-s) (L+2s) (L-s) (s) (L-s) (L+2s),8-3456-1 .,,,,
Dominant Bebop,"Genus diatonicum,   Raga Khamaj,  Desh Malhar,  Alhaiya Bilaval, Devagandhari,  Bihagara,  Maqam Shawq Awir, Gregorian nr.6, Major/Mixolydian  mixed, Chinese Eight-Tone, Rast: Greece",1 2 3 4 5 6 7b 7 .,101011010111,8,3,C D E F G A Bb B .,(L) (L) (s) (L) (L) (s) (L-s) (s),7-0-3 .,C F G Bb,Dm Em Gm Am,,Edim Bdim
Lydian Pentachord,,1 2 3 4# 5 .,101010110000,5,3,C D E F# G .,(L) (L) (L) (s) (2L+s),6-46-1 .,C,,,
Major 7 Chord,Chord CMajor7,1 3 5 7 .,100010010001,4,3,C E G B .,(2L) (L+s) (2L) (s),5-34-1 .,C,Em,,
Major Lydian Genus Diatonicum Veterum Correctum,"Ishikotsucho: Japan,  Raga Yaman Kalyan,  Chayanat, Bihag,  Hamir Kalyani,  Kedar,  Gaud Sarang,  Genus diatonicum veterum correctum,  Gregorian nr.5,  Kubilai's Mongol scale, Major/Lydian mixed",1 2 3 4 4# 5 6 7 .,101011110101,8,3,C D E F F# G A B .,(L) (L) (s) (L-s) (s) (L) (L) (s),7-0-2 .,C D F G,Dm Em Am Bm,,Bdim
Blues Minor (All b s 9/6789/4 in 12edo),Raga Nileshwari,1 3b 4 5b 5 7b .,100101110010,6,3,C Eb F Gb G Bb .,(L+s) (L) (s) (L-s) (L+s) (L),7-23-7 .,Eb,Cm Ebm,,Cdim
Theoretical - No Known Name,,1 1# 2 3 4# 5 6 7 .,111010110101,8,3,C C# D E F# G A B .,(L-s) (s) (L) (L) (s) (L) (L) (s),7-0-1 .,C D G A,Em F#m Am Bm,,C#dim F#dim
Minor Bebop (As Minor Bebop 11/891011/3 in 12edo),"Dorian Bebop,  Raga Zilla,  Mixolydian/Dorian mixed",1 2 3b 3 4 5 6 7b .,101111010110,8,3,C D Eb E F G A Bb .,(L) (s) (L-s) (s) (L) (L) (s) (L),7-0-4 .,C Eb F Bb,Cm Dm Gm Am,,Edim Adim
Flattened Third interval,,1 3b .,100100000000,2,3,C Eb .,(L+s) (4L+s),3-23-4 .,,,,
Major Sixth Interval,,1 6 .,100000000100,2,3,C A .,(4L+s) (L+s),3-23-1 .,,,,
Theoretical - No Known Name,,1 3 4 6 .,100011000100,4,3,C E F A .,(2L) (s) (2L) (L+s),5-34-2 .,F,Am,,
Theoretical - No Known Name,Chord Cminorb6,1 3b 5 6b .,100100011000,4,3,C Eb G Ab .,(L+s) (2L) (s) (2L),5-34-5 .,Ab,Cm,,
Raga Lavangi(India),Gowleeswari,1 2b 4 6b .,110001001000,4,3,C Db F Ab .,(s) (2L) (L+s) (2L),5-34-6 .,Db,Fm,,
Dorian Aoelian (Al b s) 11/891011/4 in 12edo),"Raga Mukhari, Anandabhairavi,  Deshi,  Manji,  Gregorian nr.1, Dorian/Aeolian mixed",1 2 3b 4 5 6b 6 7b .,101101011110,8,3,C D Eb F G Ab A Bb .,(L) (s) (L) (L) (s) (L-s) (s) (L),7-0-5 .,Eb F Ab Bb,Cm Dm Fm Gm,,Ddim Adim
Phrygian Aeolian 2b 4b 6b,Phrygian/Aeolian mixed,1 2b 2 3b 4 5 6b 7b .,111101011010,8,3,C Db D Eb F G Ab Bb .,(s) (L-s) (s) (L) (L) (s) (L) (L),7-0-6 .,Db Eb Ab Bb,Cm Fm Gm Bbm,,Ddim Gdim
Phrygian Locrian (All b s) - 11/891011/6 in 12edo),Phrygian/Locrian mixed,1 2b 3b 4 5b 5 6b 7b .,110101111010,8,3,C Db Eb F Gb G Ab Bb .,(s) (L) (L) (s) (L-s) (s) (L) (L),7-0-7 .,Db Eb Gb Ab,Cm Ebm Fm Bbm,,Cdim Gdim
Prokofiev (All b s)16/589101113141516/7 in 12 edo),,1 2b 3b 4 5b 6b 7b 8b .,110101101011,8,3,C Db Eb F Gb Ab Bb Cb .,(s) (L) (L) (s) (L) (L) (s) (L-s),7-0-8 .,Db Gb Ab Cb,Ebm Fm Abm Bbm,Cb+,Cdim Fdim
Theoretical - No Known Name,,1 2 5 6b 7b .,101000011010,5,3,C D G Ab Bb .,(L) (2L+s) (s) (L) (L),6-24-5 .,,Gm,,
Raga Kumurdaki (India),Kumudki,1 2 3 4# 7 .,101010100001,5,3,C D E F# B .,(L) (L) (L) (2L+s) (s),6-24-1 .,,Bm,,
Theoretical - No Known Name,,1 2 3 6 7b .,101010000110,5,3,C D E A Bb .,(L) (L) (2L+s) (s) (L),6-24-3 .,,Am,,
Theoretical - No Known Name,,1 2b 3b 4 5 .,110101010000,5,3,C Db Eb F G .,(s) (L) (L) (L) (2L+s),6-24-6 .,,Cm,,
Theoretical - No Known Name,,1 4 5b 6b 7b .,100001101010,5,3,C F Gb Ab Bb .,(2L+s) (s) (L) (L) (L),6-24-7 .,,Fm,,
"Raga Puruhutika, Purvaholika (India)",Chord - CMaj6sus4,1 4 5 6 7 .,100001010101,5,3,C F G A B .,(2L+s) (L) (L) (L) (s),6-46-2 .,F,,,
Theoretical - No Known Name,,1 2 3 4 7b .,101011000010,5,3,C D E F Bb .,(L) (L) (s) (2L+s) (L),6-46-3 .,Bb,,,
Theoretical - No Known Name,,1 2 3b 6b 7b .,101100001010,5,3,C D Eb Ab Bb .,(L) (s) (2L+s) (L) (L),6-46-5 .,Ab,,,
Theoretical - No Known Name,,1 2b 5b 6b 7b .,110000101010,5,3,C Db Gb Ab Bb .,(s) (2L+s) (L) (L) (L),6-46-7 .,Gb,,,
"Raga Hamsanandi, Puriya (India)","Marva, Pancama, Sohni",1 1# 3 4# 6 7 .,110010100101,6,3,C C# E F# A B .,(L-s) (L+s) (L) (L+s) (L) (s),7-23-1 .,A,F#m Am,,F#dim
Blues Dorian Hex (all b s) as 9/6789/1 in 12edo),Blues Dorian Hexatonic,1 2 3b 3 5 6 .,101110010100,6,3,C D Eb E G A .,(L) (s) (L-s) (L+s) (L) (L+s),7-23-4 .,C,Cm Am,,Adim
Theoretical - No Known Name,,1 2 4 5 6b 6 .,101001011100,6,3,C D F G Ab A .,(L) (L+s) (L) (s) (L-s) (L+s),7-23-5 .,F,Dm Fm,,Ddim
Theoretical - No Known Name,,1 2b 2 4 5 b7 .,111001010010,6,3,C Db D F G Bb .,(s) (L-s) (L+s) (L) (L+s) (L),7-23-6 .,,,,
Theoretical - No Known Name,,1 3b 4 6b 7b 8b .,100101001011,6,3,C Eb F Ab Bb Cb .,(L+s) (L) (L+s) (L) (s) (L-s),7-23-8 .,Ab,Fm Abm,,Fdim
Theoretical - No Known Name,,1 1# 2 3 6 7 .,111010000101,6,3,C C# D E A B .,(L-s) (s) (L) (2L+s) (L) (s),7-27-1 .,A,Am,,
Theoretical - No Known Name,,1 2 5 6 7b 7 .,101000010111,6,3,C D G A Bb B .,(L) (2L+s) (L) (s) (L-s) (s),7-27-3 .,G,Gm,,
Theoretical - No Known Name,,1 2 3b 3 4 5 .,101111010000,6,3,C D Eb E F G .,(L) (s) (L-s) (s) (L) (2L+s),7-27-4 .,C,Cm,,
Theoretical - No Known Name,,1 4 5 6b 6 7b .,100001011110,6,3,C F G Ab A Bb .,(2L+s) (L) (s) (L-s) (s) (L),7-27-5 .,F,Fm,,
Theoretical - No Known Name,,1 2b 2 3b 4 7b .,111101000010,6,3,C Db D Eb F Bb .,(s) (L-s) (s) (L) (2L+s) (L),7-27-6 .,Bb,Bbm,,
Theoretical - No Known Name,,1 2b 3b 6b 7b 8b .,110100001011,6,3,C Db Eb Ab Bb Cb .,(s) (L) (2L+s) (L) (s) (L-s),7-27-8 .,Ab,Abm,,
Theoretical - No Known Name,,1 1# 2 3 5 6 .,111010010100,6,3,C C# D E G A .,(L-s) (s) (L) (L+s) (L) (L+s),7-67-1 .,C A,Am,,C#dim
Theoretical - No Known Name,,1 2 4 4# 5 6 .,101001110100,6,3,C D F F# G A .,(L) (L+s) (L-s) (s) (L) (L+s),7-67-2 .,D F,Dm,,
Raga Megh (India) (same as Raga Megh 11/56891011/2 in 12edo),"Raga Brindabani Sarang,  (Megh Malhar)",1 2 4 5 7b 7 .,101001010011,6,3,C D F G Bb B .,(L) (L+s) (L) (L+s) (L-s) (s),7-67-3 .,G Bb,Gm,,Bdim
Raga Bhanumanjari (India),Jog,1 3b 3 4 5 7b .,100111010010,6,3,C Eb E F G Bb .,(L+s) (L-s) (s) (L) (L+s) (L),7-67-4 .,C Eb,Cm,,Edim
Theoretical - No Known Name,,1 3b 4 6b 6 7b .,100101001110,6,3,C Eb F Ab A Bb .,(L+s) (L) (L+s) (L-s) (s) (L),7-67-5 .,F Ab,Fm,,Adim
Raga Gujari Todi (India),,1 2b 3b 5b 6b 8b .,110100101001,6,3,C Db Eb Gb Ab Cb .,(s) (L) (L+s) (L) (L+s) (L-s),7-67-8 .,Ab Cb,Abm,Cb+,Cdim
Theoretical - No Known Name,,1 3b 4 4# 6b 6 .,100101101100,6,3,C Eb F F# Ab A .,(L+s) (L) (L-s) (2s)(L-s) (L+s),10-3678910-5 .,F Ab,Fm,,Adim
Theoretical - No Known Name,,1 1# 2 3 4# 6 7 .,111010100101,7,3.0476,C C# D E F# A B .,(L-s) (s) (L) (L) (L+s) (L) (s),7-2-1 .,D A,F#m Am Bm,,F#dim
Theoretical - No Known Name,,1 2 3 5 6 7b 7 .,101010010111,7,3.0476,C D E G A Bb B .,(L) (L) (L+s) (L) (s) (L-s) (s),7-2-3 .,C G,Em Gm Am,,Edim
Theoretical - No Known Name,,1 2 3b 3 4 5 6 .,101111010100,7,3.0476,C D Eb E F G A  .,(L) (s) (L) (s) (L) (L) (L+s),7-2-4 .,C F,Cm Dm Am,,Adim
Theoretical - No Known Name,,1 2 4 5 6b 6 7b .,101001011110,7,3.0476,C D F G Ab A Bb .,(L) (L+s) (L) (s) (L-s) (s) (L),7-2-5 .,F Bb,Dm Fm Gm,,Ddim
Theoretical - No Known Name,,1 2b 2 3b 4 5 7b .,111101010010,7,3.0476,C Db D Eb F G Bb  .,(s) (L-s) (s) (L) (L) (L+s) (L),7-2-6 .,Eb Bb,Cm Gm Bbm,,Gdim
Theoretical - No Known Name,,1 3b 4 5b 5 6b 7b .,100101111010,7,3.0476,C Eb F Gb G Ab Bb .,(L+s) (L) (s) (L-s) (s) (L) (L),7-2-7 .,Eb Ab,Cm Ebm Fm,,Cdim
Theoretical - No Known Name,,1 2b 3b 4 6b 7b 8b .,110101001011,7,3.0476,C Db Eb F Ab Bb Cb .,(s) (L) (L) (L+s) (L) (s) (L-s),7-2-8 .,Db Ab,Fm Abm Bbm,,Fdim
Theoretical - No Known Name,,1 1# 2 3 5 6 7 .,111010010101,7,3.0476,C C# D E G A B .,(L-s) (s) (L) (L+s) (L) (L) (s),7-7-1 .,C G A,Em Am,,C#dim
Theoretical - No Known Name,,1 2 3 4 4# 5 6 .,101011110100,7,3.0476,C D E F F# G A .,(L) (L) (s) (L-s) (s) (L) (L+s),7-7-2 .,C D F,Dm Am,,
Raga Sorati (India),,1 2 4 5 6 7b 7 .,101001010111,7,3.0476,C D F G A Bb B .,(L) (L+s) (L) (L) (s) (L-s) (s),7-7-3 .,F G Bb,Dm Gm,,Bdim
Theoretical - No Known Name,,1 2 3b 3 4 5 7b .,101111010010,7,3.0476,C D Eb E F G Bb .,(L) (s) (L-s) (s) (L) (L+s) (L),7-7-4 .,C Eb Bb,Cm Gm,,Edim
Theoretical - No Known Name,,1 3b 4 5 6b 6 7b .,100101011110,7,3.0476,C Eb F G Ab A Bb .,(L+s) (L) (L) (s) (L-s) (s) (L),7-7-5 .,Eb F Ab,Cm Fm,,Adim
Theoretical - No Known Name,,1 2b 2 3b 4 6b 7b .,111101001010,7,3.0476,C Db D Eb F Ab Bb .,(s) (L-s) (s) (L) (L+s) (L) (L),7-7-6 .,Db Ab Bb,Fm Bbm,,Ddim
Enigmatic Minor (all b s)  15/245789101315/6 in 12edo,,1 2b 3b 5b 6b 7b 8b .,110100101011,7,3.0476,C Db Eb Gb Ab Bb Cb .,(s) (L) (L+s) (L) (L) (s) (L-s),7-7-8 .,Gb Ab Cb,Ebm Abm,Cb+,Cdim
Theoretical - No Known Name,,1 2 3 4 4# 5# 6 7b 7 .,101011101111,9,3.1389,C D E F F# G# A Bb B .,(L) (L) (s) (L-s) (L) (s) (s) (L-s) (s),10-410-3 .,D E F Bb,Dm Am Bm,C+ Bb+,G#dim Bdim
Theoretical - No Known Name,,1 2 3 4 4# 5 6b 7b 7 .,101011111011,9,3.1389,C D E F F# G Ab Bb B .,(L) (L) (s) (L-s) (s) (s) (L) (L-s) (s),10-28-5 .,C G Bb,Em Fm Gm Bm,Ab+ Bb+,Ddim Edim Bdim
Theoretical - No Known Name,,1 2 3b 3 4# 5 6b 6 7b .,101110111110,9,3.1389,C D Eb E F# G Ab A Bb .,(L) (s) (L-s) (L) (s) (s) (L-s) (s) (L),10-410-5 .,C D Eb Ab,Cm Gm Am,Ab+ Bb+,Edim Adim
Theoretical - No Known Name,,1 2b 2 3b 4 5 6b 6 7 .,111101011101,9,3.1389,C Db D Eb F G Ab A B .,(s) (L-s) (s) (L) (L) (s) (L-s) (L) (s),10-410-6 .,Db F G Ab,Cm Dm Fm,Db+ Eb+,Ddim Adim Bdim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 6b 7b .,111110111010,9,3.1389,C Db D Eb Fb Gb G Ab Bb .,(s) (L-s) (s) (s) (L) (L-s) (s) (L) (L),10-28-9 .,Eb Gb Ab,Cm Dbm Ebm Gm,Fb+ Gb+,Cdim Gdim Bbdim
Symmetrical Nonatonic,,1 1# 2 3 4# 5 5# 6# 7 .,111010111011,9,3.1389,C C# D E F# G G# A# B .,(L-s) (s) (L) (L) (s) (L-s) (L) (s) (s),10-410-1 .,C E F# G,C#m Em Bm,C+ D+,C#dim G#dim A#dim
Marva Thaat (India) (as Marva 11/23458/6 in 12 edo),"Marva Thaat (India) Mela Gamanasrama,  Raga Partiravam,  Puriya Kalyan,  Purvikalyani,  Sohani,  Bairari,  Peiraiotikos: Greece",1 1# 3 4# 5 6 7 .,110010110101,7,3.1429,C C# E F# G A B .,(L-s) (L+s) (L) (s) (L) (L) (s),7-3-1 .,C A,Em F#m Am,,C#dim F#dim
Theoretical - No Known Name,,1 2 3 4 4# 6 7 .,101011100101,7,3.1429,C D E F F# A B .,(L) (L) (s) (L-s) (L+s) (L) (s),7-3-2 .,D F,Dm Am Bm,,Bdim
Mela Jhankaradhvani (India),Raga Jhankara Bhramavi,1 2 3b 4 5 6b 6 .,101101011100,7,3.1429,C D Eb F G Ab A .,(L) (s) (L) (L) (s) (L-s) (L+s),7-3-5 .,F Ab,Cm Dm Fm,,Ddim Adim
Mela Ratnangi (India),Raga Phenadyuti,1 2b 2 4 5 6b 7b .,111001011010,7,3.1429,C Db D F G Ab Bb .,(s) (L-s) (L+s) (L) (s) (L) (L),7-3-6 .,Db Bb,Fm Gm Bbm,,Ddim Gdim
Blues Phrygian 11/2891011/6 in 12edo),,1 2b 3b 4 5b 5 7b .,110101110010,7,3.1429,C Db Eb F Gb G Bb .,(s) (L) (L) (s) (L-s) (L+s) (L),7-3-7 .,Eb Gb,Cm Ebm Bbm,,Cdim Gdim
Theoretical - No Known Name,,1 3b 4 5b 6b 7b 8b .,100101101011,7,3.1429,C Eb F Gb Ab Bb Cb .,(L+s) (L) (s) (L) (L) (s) (L-s),7-3-8 .,Ab Cb,Ebm Fm Abm,Cb+,Cdim Fdim
Theoretical - No Known Name,,1 1# 2 3 4# 5 6 .,111010110100,7,3.1429,C C# D E F# G A .,(L-s) (s) (L) (L) (s) (L) (L+s),7-6-1 .,C D A,F#m Am,,C#dim F#dim
Theoretical - No Known Name,,1 2 4 4# 5 6 7 .,101001110101,7,3.1429,C D F F# G A B .,(L) (L+s) (L-s) (s) (L) (L) (s),7-6-2 .,D F G,Dm Bm,,Bdim
Mela Nagananadini (India),"Raga Nagabharanam,  Samanta",1 2 3 4 5 7b 7 .,101011010011,7,3.1429,C D E F G Bb B .,(L) (L) (s) (L) (L+s) (L-s) (s),7-6-3 .,C G Bb,Em Gm,,Edim Bdim
Raga Nandkauns (India) (same as Rock 11/5891011/3 in 12 edo),"Mela Vagadhisvari,   Raga Bhogachayanata,  Nandkauns,  Ganavaridhi,  Chayanata,  Bluesy Rock 'n Roll",1 3b 3 4 5 6 7b .,100111010110,7,3.1429,C Eb E F G A Bb .,(L+s) (L-s) (s) (L) (L) (s) (L),7-6-4 .,C Eb F,Cm Am,,Edim Adim
Theoretical - No Known Name,,1 2 3b 4 6b 6 7b .,101101001110,7,3.1429,C D Eb F Ab A Bb .,(L) (s) (L) (L+s) (L-s) (s) (L),7-6-5 .,F Ab Bb,Dm Fm,,Ddim Adim
Mela Bhavapriya (India),"Raga Bhavani,   Kalamurti",1 2b 3b 5b 5 6b 7b .,110100111010,7,3.1429,C Db Eb Gb G Ab Bb .,(s) (L) (L+s) (L-s) (s) (L) (L),7-6-7 .,Eb Gb Ab,Cm Ebm,,Cdim Gdim
Theoretical - No Known Name,,1 2b 3b 4 5b 6b 8b .,110101101001,7,3.1429,C Db Eb F Gb Ab Cb .,(s) (L) (L) (s) (L) (L+s) (L-s),7-6-8 .,Db Ab Cb,Fm Abm,Cb+,Cdim Fdim
Minor Bebop (all b s) 11/2891011/3 in 12edo),,1 2 3b 3 5 6 7b .,101110010110,7,3.1429,C D Eb E G A Bb .,(L) (s) (L-s) (L+s) (L) (s) (L),7-3-4 .,C Eb,Cm Gm Am,,Edim Adim
Major b7 Chord e.g. D7,,1 2 4# 6 .,101000100100,4,3.1667,C D F# A .,(L) (2L) (L+s) (L+s),6-256-1 .,D,,,
Major b7 Chord e.g. F7,,1 3b 4 6 .,100101000100,4,3.1667,C Eb F A .,(L+s) (L) (2L) (L+s),6-256-4 .,F,,,Adim
Major Dominant b7 Chord e.g. Ab7,,1 3b 5b 6b .,100100101000,4,3.1667,C Eb Gb Ab .,(L+s) (L+s) (L) (2L),6-256-7 .,Ab,,,Cdim
Raga Nigamagamini (India),,1 3 4# 7 .,100010100001,4,3.1667,C E F# B .,(2L) (L) (2L+s) (s),6-234-1 .,,,,
Theoretical - No Known Name,,1 2 5 6b .,101000011000,4,3.1667,C D G Ab .,(L) (2L+s) (s) (2L),6-234-5 .,,,,
Theoretical - No Known Name,,1 2b 4 5 .,110001010000,4,3.1667,C Db F G .,(s) (2L) (L) (2L+s),6-234-6 .,,,,
Theoretical - No Known Name,,1 4 5b 7b .,100001100010,4,3.1667,C F Gb Bb .,(2L+s) (s) (2L) (L),6-234-7 .,,,,
Major b7 Chord e.g. C7 Raga Mahathi (India),Antara Kaishiaki Chord C7,1 3 5 7b .,100010010010,4,3.1667,C E G Bb .,(2L) (L+s) (L+s) (L),6-256-3 .,C,,,Edim
Theoretical - No Known Name,,1 2 4# 5 .,101000110000,4,3.1667,C D F# G .,(L) (2L) (s) (2L+s),6-456-1 .,,,,
Theoretical - No Known Name,,1 4 5 7 .,100001010001,4,3.1667,C F G B .,(2L+s) (L) (2L) (s),6-456-2 .,,,,
Theoretical - No Known Name,,1 3 4 7b .,100011000010,4,3.1667,C E F Bb .,(2L) (s) (2L+s) (L),6-456-3 .,,,,
Theoretical - No Known Name,,1 2b 5b 6b .,110000101000,4,3.1667,C Db Gb Ab .,(s) (2L+s) (L) (2L),6-456-7 .,,,,
Messiaen Truncated Gb Bb Eb Half Diminished,Half Diminished Chord,1 3b 5b 7b .,100100100010,4,3.1667,C Eb Gb Bb .,(L+s) (L+s) (2L) (L),6-236-7 .,,Ebm,,Cdim
Theoretical - No Known Name,,1 3 4# 6 .,100010100100,4,3.1667,C E F# A .,(2L) (L) (L+s) (L+s),6-236-1 .,,Am,,
Theoretical - No Known Name,Chord Cm6,1 3b 5 6 .,100100010100,4,3.1667,C Eb G A .,(L+s) (2L) (L) (L+s),6-236-4 .,,Cm,,Adim
Theoretical - No Known Name,,1 2b 2 3b 4b 5b 5 6b 7bb .,111110111100,9,3.1944,C Db D Eb Fb Gb G Ab Bbb .,(s) (L-s) (s) (s) (L) (L-s) (s) (s) (2L-s),11-389-10 .,Ab Bbb,Cm Dbm Gbm,Fb+ Bbb+,Cdim Ebdim
"Balinese, Pelog 1","Madenda Modern,                  Phrygian Pentatonic, Raga Bhupalam, Bhupala Todi,                  Bibhas, Tezeta Minor: Ethiopia",1 2b 3b 5 6b .,110100011000,5,3.2,C Db Eb G Ab .,(s) (L) (2L) (s) (2L),6-45-6 .,Ab,Cm,,
Raga Malashri (India) & Chinese,"Ching (China)Raga Amritavarshini,  Shilangi,  Lydian Pentatonic",1 3 4# 5 7 .,100010110001,5,3.2,C E F# G B .,(2L) (L) (s) (2L) (s),6-34-1 .,C,Em,,
"Raga Bhinna Shadja, Hindolita (India)",Kaushikdhvani,1 3 4 6 7 .,100011000101,5,3.2,C E F A B .,(2L) (s) (2L) (L) (s),6-34-2 .,F,Am,,
Hira-joshi Japan,"Kata-kumoi, Yona Nuki Minor: Japan, Aeolian PentatonicAkebono",1 2 3b 5 6b .,101100011000,5,3.2,C D Eb G Ab .,(L) (s) (2L) (s) (2L),6-34-5 .,Ab,Cm,,
Ionian Pentatonic Raga Gambhiranata (India),"Ryukyu: Japan,  Pelog Degung ModernChord CMaj7sus4",1 3 4 5 7 .,100011010001,5,3.2,C E F G B .,(2L) (s) (L) (2L) (s),6-45-2 .,C,Em,,
Iwato Japan,,1 2b 4 5b 7b .,110001100010,5,3.2,C Db F Gb Bb .,(s) (2L) (s) (2L) (L),6-34-7 .,Gb,Bbm,,
"Japanese, Sakura Pentatonic Soft Descend","Hon-kumoi-joshi, Sakura, Akebono II: Japan,  Olympos Enharmonic, Raga Salanganata, Saveri, Gunakri  (Gunakali), Latantapriya, Ambassel: Ethiopia",1 2b 4 5 6b .,110001011000,5,3.2,C Db F G Ab .,(s) (2L) (L) (s) (2L),6-34-6 .,Db,Fm,,
Locrian PentaMirror,,1 2b 3b 4 5b .,110101100000,5,3.2,C Db Eb F Gb .,(s) (L) (L) (s) (3L),6-35-7 .,,,,Cdim
Raga Khamaji Durga (India),,1 3 4 6 7b .,100011000110,5,3.2,C E F A Bb .,(2L) (s) (2L) (s) (L),6-45-3 .,F,Am,,
Raga Vaijayanti (India),Hamsanada,1 2 4# 5 7 .,101000110001,5,3.2,C D F# G B .,(L) (2L) (s) (2L) (s),6-45-1 .,G,Bm,,
Theoretical - No Known Name,,1 4# 5 6 7 .,100000110101,5,3.2,C F# G A B .,(3L) (s) (L) (L) (s),6-35-1 .,,,,
Theoretical - No Known Name,,1 2 3 4 7 .,101011000001,5,3.2,C D E F B .,(L) (L) (s) (3L) (s),6-35-2 .,,,,Bdim
Theoretical - No Known Name,,1 2 3b 6 7b .,101100000110,5,3.2,C D Eb A Bb .,(L) (s) (3L) (s) (L),6-35-4 .,,,,Adim
Theoretical - No Known Name,,1 2b 5 6b 7b .,110000011010,5,3.2,C Db G Ab Bb .,(s) (3L-s) (s) (L) (L),6-35-6 .,,,,Gdim
Theoretical - No Known Name,Chord C-b5b6b9sus4,1 2b 4 5b 6b .,110001101000,5,3.2,C Db F Gb Ab .,(s) (2L) (s) (L) (2L),6-45-7 .,Db,Fm,,
Theoretical - No Known Name,,1 1# 3 4# 7 .,110010100001,5,3.2,C C# E F# B .,(L-s) (L+s) (L) (2L+s) (s),7-234-1 .,,,,
Theoretical - No Known Name,,1 2 5 6b 6 .,101000011100,5,3.2,C D G Ab A .,(L) (2L+s) (s) (L-s) (L+s),7-234-5 .,,,,
Theoretical - No Known Name,,1 2b 2 4 5 .,111001010000,5,3.2,C Db D F G .,(s) (L-s) (L+s) (L) (2L+s),7-234-6 .,,,,
