Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 2b 2 3b 5 6 7b .,111100010110,7,3.5238,C Db D Eb G A Bb .,(s) (L-s) (s) (2L) (L) (s) (L),8-25-6 .,Eb,Cm Gm,,Gdim Adim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 6b .,111101101000,7,3.5238,C Db D Eb F Gb Ab .,(s) (L-s) (s) (L) (s) (L) (2L),8-58-7 .,Db Ab,Fm,,Cdim Ddim
Mela Latangi (India),"Raga Gitapriya,  Hamsalata",1 2 3 4# 5 5# 7 .,101010111001,7,3.5238,C D E F# G G# B .,(L) (L) (L) (s) (L-s) (L+s) (s),8-48-1 .,C E G,Em Bm,C+,G#dim
Hungarian Gypsy,Mela Sanmukhapriya (India),1 2 3b 5b 5 6b 7b .,101100111010,7,3.5238,C D Eb Gb G Ab Bb .,(L) (s) (L+s) (L-s) (s) (L) (L),8-26-7 .,Eb Ab,Cm Ebm Gm,Gb+,Cdim
Sabach (Greece),Sabach (Sambah): Greece,1 2 3b 3 5 6b 7b .,101110011010,7,3.5238,C D Eb E G Ab Bb .,(L) (s) (L-s) (L+s) (s) (L) (L),8-48-5 .,C Eb Ab,Cm Gm,Ab+,Edim
Eskimo Hexatonic 2,,1 2 3 4# 5# 6 .,101010101100,6,3.5333,C D E F# G# A .,(L) (L) (L) (L) (s) (L+s),8-268-1 .,D,Am,C+,
Raga Vijayasri (India),,1 1# 2 4# 5 7 .,111000110001,6,3.5333,C C# D F# G B .,(L-s) (s) (2L) (s) (2L) (s),7-45-1 .,G,Bm,,
Takemitsu Tree Line Mode 2 4b s,,1 2 3b 5b 6b 7b .,101100101010,6,3.5333,C D Eb Gb Ab Bb .,(L) (s) (L+s) (L) (L) (L),8-268-7 .,Ab,Ebm,Gb+,Cdim
Prometheus F# and Bb) in 12edo),"(Scriabin) Mystic,  Raga Barbara",1 2 3 4# 6 7b .,101010100110,6,3.5333,C D E F# A Bb .,(L) (L) (L) (L+s) (s) (L),8-248-3 .,D,Am,Bb+,
Theoretical - No Known Name,,1 3 4 4# 5 7 .,100011110001,6,3.5333,C E F F# G B .,(2L) (s) (L-s)  (s) (2L) (s),7-45-2 .,C,Em,,
Theoretical - No Known Name,,1 3 4 6 7b 7 .,100011000111,6,3.5333,C E F A Bb B .,(2L) (s) (2L) (s) (L-s) (s),7-45-3 .,F,Am,,
Theoretical - No Known Name,,1 2b 2 3b 5 6b .,111100011000,6,3.5333,C Db D Eb G Ab .,(s) (L-s) (s) (2L) (s) (2L),7-45-6 .,Ab,Cm,,
Theoretical - No Known Name,,1 2b 4 5b 7b 8b .,110001100011,6,3.5333,C Db F Gb Bb Cb .,(s) (2L) (s) (2L) (s) (L-s),7-45-8 .,Gb,Bbm,,
Raga Saravati (b6) (India),,1 3 4 5 6b 6 .,100011011100,6,3.5333,C E F G Ab A .,(2L) (s) (L) (s) (L-s) (L+s),8-237-5 .,C F,Fm Am,Ab+,
